Farm ID,Crop,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Pest Occurrences,Disease Occurrences,Irrigation Method,Temperature,Rainfall,Machinery Usage,Crop Rotation,Pesticide Usage
1,Wheat,Medium,High,Medium,Low,Low,Furrow Irrigation,Low,Moderate,Medium,Yes,Low
2,Corn,High,High,High,Medium,Medium,Sprinkler Irrigation,Moderate,Moderate,High,Yes,Medium
3,Soybeans,High,Medium,Medium,Low,Low,Drip Irrigation,Moderate,Moderate,Medium,Yes,Low
4,Rice,High,High,High,High,High,Flood Irrigation,High,High,Low,No,High
5,Barley,Medium,Medium,Medium,Low,Low,Furrow Irrigation,Low,Low,Medium,Yes,Low
6,Cotton,High,High,High,High,High,Sprinkler Irrigation,High,Moderate,High,Yes,High
7,Potatoes,High,High,High,Medium,High,Furrow Irrigation,Moderate,Low,High,Yes,Medium
8,Apples,Medium,Medium,Medium,Medium,High,Drip Irrigation,Low,Moderate,Medium,Yes,Medium
9,Oranges,Medium,Medium,Medium,Medium,High,Sprinkler Irrigation,Moderate,High,Medium,Yes,Medium
10,Grapes,Low,Low,Low,Low,Low,Drip Irrigation,Moderate,Low,Low,Yes,Low
11,Tomatoes,High,High,High,High,High,Drip Irrigation,Moderate,Moderate,Medium,Yes,High
12,Peanuts,Medium,Medium,Medium,Medium,Medium,Furrow Irrigation,High,Moderate,Medium,Yes,Medium
13,Carrots,Low,Low,Low,Low,Low,Drip Irrigation,Low,Low,Low,Yes,Low
14,Onions,Medium,Medium,Medium,Low,Low,Drip Irrigation,Low,Low,Low,Yes,Low
15,Watermelon,High,High,High,Medium,Medium,Drip Irrigation,High,Moderate,Medium,Yes,Medium
16,Strawberries,Medium,Medium,Medium,Medium,High,Drip Irrigation,Moderate,Low,Medium,Yes,Medium
17,Blueberries,Low,Low,Low,Low,Low,Drip Irrigation,Low,Low,Low,Yes,Low
18,Avocados,Medium,Medium,Medium,Low,Medium,Drip Irrigation,Moderate,High,Medium,Yes,Medium
19,Mangoes,Low,Low,Low,Medium,Medium,Sprinkler Irrigation,High,Moderate,Medium,Yes,Medium
20,Pineapples,Low,Low,Low,Medium,Medium,Sprinkler Irrigation,High,High,Medium,Yes,Medium
21,Papayas,Medium,High,Medium,Medium,Medium,Drip Irrigation,Moderate,High,Medium,Yes,Medium
22,Bananas,Medium,High,High,High,High,Sprinkler Irrigation,High,High,High,Yes,High
23,Lemons,Medium,Medium,Medium,Medium,Medium,Drip Irrigation,Moderate,High,Medium,Yes,Medium
24,Limes,Medium,Medium,Medium,Medium,Medium,Drip Irrigation,Moderate,High,Medium,Yes,Medium
25,Kiwis,Medium,Medium,Medium,Medium,Medium,Drip Irrigation,Moderate,High,Medium,Yes,Medium
26,Bell Peppers,Medium,Medium,Medium,Medium,Medium,Drip Irrigation,Moderate,Low,Medium,Yes,Medium
27,Cauliflower,Medium,Medium,Medium,Medium,Medium,Drip Irrigation,Moderate,Low,Medium,Yes,Medium
28,Broccoli,Medium,Medium,Medium,Medium,Medium,Drip Irrigation,Moderate,Low,Medium,Yes,Medium
29,Asparagus,Low,Low,Low,Low,Low,Drip Irrigation,Moderate,Low,Low,Yes,Low
30,Eggplants,Medium,Medium,Medium,Medium,Medium,Drip Irrigation,Moderate,Low,Medium,Yes,Medium
